type,title,pdf,link,slides,authors,conference,location,month,year
conference,"Enabling Portable and Reproducible Long-term Thermal Comfort Evaluation with Brick Schema and Mortar Testbed",enabling2022sun.pdf,https://escholarship.org/uc/item/5640w8m0,,"Ruiji Sun, Carlos Duarte Roa, Paul Raftery, Gabe Fierro","ASHRAE 2022 Annual Conference",,February,2022
conference,"Query Relaxation for Portable Brick-Based Applications",query2021bennani.pdf,https://dl.acm.org/doi/abs/10.1145/3486611.3486671,,"Imane Bennani, Anand Prakash, Marina Zafiris, Lazlo Paul, Carlos Duarte Roa, Paul Raftery, Marco Pritoni, Gabe Fierro","Proceedings of the 8th ACM International Conference on Systems for Energy-Efficient Buildings, Cities, and Transportation (BuildSys)","Virtual Event, Portugal",November,2021
conference,"Phasor Based Control with the Distributed, Extensible Grid Control Platform",,https://ieeexplore.ieee.org/abstract/document/9372161,,"Keith Moffat, Jasper Pakshong, Leo Chu, Gabe Fierro, Jaimie Swartz, Maxime Baudette, Alexandra von Meier","2021 IEEE Power & Energy Society Innovative Smart Grid Technologies Conference (ISGT)","Virtual Event",February,2021
conference,"An Extensible Software and Communication Platform for Distributed Energy Resource Management",,https://ieeexplore.ieee.org/abstract/document/9303006,,"Gabe Fierro, Keith Moffat, Jasper Pakshong, Alexandra von Meier","2020 IEEE International Conference on Communications, Control, and Computing Technologies for Smart Grids (SmartGridComm)","Virtual Event",November,2020
conference,"Shepherding Metadata Through the Building Lifecycle",shepherding2020fierro.pdf,,,"Gabe Fierro, Anand Krishnan Prakash, Cory Mosiman, Marco Pritoni, Paul Raftery, Michael Wetter, David E. Culler","Proceedings of the 7th ACM International Conference on Systems for Energy-Efficient Buildings, Cities, and Transportation (BuildSys)","Virtual Event, Japan",November,2020
conference,"Semantic Interoperability to Enable Smart, Grid-Interactive Efficient Buildings",semantic_interop.pdf,,,"Harry Bergmann, Cory Mosiman, Avijit Saha, Selam Haile, William Livingood, Steven Bushby, Gabe Fierro, Joel Bender, Michael Poplawski, Jessica Granderson, Marco Pritoni","2020 ACEEE Summer Study on Energy Efficiency in Buildings","Virtual Event",August,2020
conference,"Beyond a House of Sticks: Formalizing Metadata Tags with Brick",house2019fierro.pdf,,,"Gabe Fierro, Jason Koh, Yuvraj Agarwal, Rajesh K. Gupta, David E. Culler","6th ACM International Conference on Systems for Energy-Efficient Buildings, Cities, and Transportation (BuildSys)","New York, NY, USA",November,2019
conference,"WAVE: A Decentralized Authorization Framework with Transitive Delegation",wave2019andersen.pdf,https://www.usenix.org/conference/usenixsecurity19/presentation/andersen,,"Michael P Andersen, Sam Kumar, Moustafa AbdelBaky, Gabe Fierro, John Kolb, Hyung-Sin Kim, David E. Culler, Raluca Ada Popa","28th USENIX Security Symposium (USENIX Security 19)","Santa Clara, CA, USA",,2019
conference,"Design and Analysis of a Query Processor for Brick",hoddb2017fierro.pdf,,,"Gabe Fierro, David E. Culler","4th ACM International Conference on Systems for Energy-Efficient Built Environments (BuildSys)","Delft, The Netherlands",November,2017
conference,"Mortar: An Open Testbed for Portable Building Analytics",mortar2018fierro.pdf,,,"Gabe Fierro, Marco Pritoni, Moustafa AbdelBaky, Paul Raftery, Therese Peffer, Greg Thomson, David E. Culler","5th ACM International Conference on Systems for Energy-Efficient Built Environments (BuildSys)","Shenzhen, China",November,2018
conference,"Brick v1.0 - Towards a Unified Metadata Schema for Buildings",brick2016balaji.pdf,,,"Bharathan Balaji, Arka Bhattacharya, Gabe Fierro, Jingkun Gao, Joshua Gluck, Dezhi Hong, Aslak Johansen, Jason Koh, Yuvraj Agarwal, Mario Berges, David E. Culler, Rajesh Gupta, Mikkel Baun Kjaergaard, Joern Ploennigs, Kamin Whitehouse","3rd ACM International Conference on Systems for Energy-Efficient Built Environments (BuildSys)","Palo Alto, California",November,2016
conference,"Enabling Portable Energy Applications with a Building Operating System",aceee_enabling.pdf,,,"Gabe Fierro, Therese Peffer, David E. Culler","2016 ACEEE Summer Study on Energy Efficiency in Buildings","Pacific Grove, CA",August,2016
conference,"Writing Controls Sequences for Buildings: from HVAC Industry Enclave to Hacker’s Weekend Project",aceee_enclave.pdf,,,"Therese Peffer, Marco Pritoni, Gabe Fierro, Soazig Kaam, Joyce Kim, Paul Raftery","2016 ACEEE Summer Study on Energy Efficiency in Buildings","Pacific Grove, CA",August,2016
conference,"Getting into the Zone: How the Internet of Things can Improve Energy Efficiency and Demand Response in a Commercial Building",aceee_gettingintothezone.pdf,,,"Peng Zhao, Therese Peffer, Ram Narayanamurthy, Gabe Fierro, Paul Raftery, Soazig Kaam, Joyce Kim","2016 ACEEE Summer Study on Energy Efficiency in Buildings","Pacific Grove, CA",August,2016
